2024/01/11 16:14:16.652 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2115732
2024/01/11 16:14:16.683 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2116218
2024/01/11 16:14:16.683 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2124943
2024/01/11 16:14:16.683 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2125898
2024/01/11 16:14:16.683 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2132485
2024/01/11 16:14:16.683 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2134068
2024/01/11 16:14:16.683 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2137721
2024/01/11 16:14:16.683 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2139047
2024/01/11 16:14:16.683 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2139881
2024/01/11 16:14:16.683 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2140839
2024/01/11 16:14:16.683 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2145900
2024/01/11 16:14:16.683 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2175595
2024/01/11 16:14:16.683 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2176310
2024/01/11 16:14:16.683 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2176810
2024/01/11 16:14:16.684 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2177571
2024/01/11 16:14:16.684 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2178522
2024/01/11 16:14:16.684 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2180676
2024/01/11 16:14:16.684 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2195216
2024/01/11 16:14:16.684 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2206446
2024/01/11 16:14:16.684 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2207681
2024/01/11 16:14:16.684 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2208860
2024/01/11 16:14:16.684 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2212858
2024/01/11 16:14:16.684 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2217264
2024/01/11 16:14:16.684 [AWT-EventQueue-0] DEBUG  cgdp.corealign.ComparativeMapDrawer *** pos=2218573
