2024/12/17 08:41:21.632 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCACT_RS08965, spec=gm05066
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=646, order=0, coreidx1=1091, coreidx2=1091
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BGL52_RS08455, spec=gm08549
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=646, order=0, coreidx1=1091, coreidx2=1091
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=DYY97_RS07795, spec=gm10478
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=646, order=0, coreidx1=1091, coreidx2=1091
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCABL_RS09045, spec=lcb
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=646, order=0, coreidx1=1091, coreidx2=1091
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BN194_RS09075, spec=lcw
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=646, order=0, coreidx1=1091, coreidx2=1091
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCA12A_RS07990, spec=lcx
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=646, order=0, coreidx1=1091, coreidx2=1091
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.Cluster Cluster id=1583, name=1583
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LBCZ_RS08285, spec=gm04274
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1583, order=0, coreidx1=1174, coreidx2=1174
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCYAK_RS09235, spec=gm05061
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1583, order=0, coreidx1=1174, coreidx2=1174
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCACT_RS09415, spec=gm05066
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1583, order=0, coreidx1=1174, coreidx2=1174
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BGL52_RS08955, spec=gm08549
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1583, order=0, coreidx1=1174, coreidx2=1174
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=DYY97_RS08265, spec=gm10478
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1583, order=0, coreidx1=1174, coreidx2=1174
2024/12/17 08:41:21.646 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCABL_RS09495, spec=lcb
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1583, order=0, coreidx1=1174, coreidx2=1174
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BN194_RS09530, spec=lcw
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1583, order=0, coreidx1=1174, coreidx2=1174
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCA12A_RS08435, spec=lcx
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1583, order=0, coreidx1=1174, coreidx2=1174
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.Cluster Cluster id=1739, name=1739
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LBCZ_RS08360, spec=gm04274
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1739, order=0, coreidx1=1186, coreidx2=1186
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCYAK_RS09300, spec=gm05061
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1739, order=0, coreidx1=1186, coreidx2=1186
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCACT_RS09480, spec=gm05066
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1739, order=0, coreidx1=1186, coreidx2=1186
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BGL52_RS09025, spec=gm08549
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1739, order=0, coreidx1=1186, coreidx2=1186
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=DYY97_RS08330, spec=gm10478
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1739, order=0, coreidx1=1186, coreidx2=1186
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCABL_RS09560, spec=lcb
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1739, order=0, coreidx1=1186, coreidx2=1186
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=BN194_RS09595, spec=lcw
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1739, order=0, coreidx1=1186, coreidx2=1186
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster domNo=0, name=LCA12A_RS08500, spec=lcx
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.DomCluster clustid=1739, order=0, coreidx1=1186, coreidx2=1186
2024/12/17 08:41:21.647 [AWT-EventQueue-0] INFO   cgdp.corealign.Cluster Cluster id=1677, name=1677
